Date,High,Low,Open,Close,Volume,Adj Close
1/2/2002,121.5,119.8000031,120.5999985,121.5,6862800,84.67742157
1/3/2002,124.2200012,120.25,121.5,123.6600037,8621700,86.18280029
1/4/2002,125.5999985,123.9800034,124.0500031,125.5999985,8405200,87.5348587
1/7/2002,126.1900024,123.6999969,125,124.0500031,5939600,86.45457458
1/8/2002,125.1999969,123.7300034,124.25,124.6999969,5311800,86.9076004
1/9/2002,126.3899994,124.1500015,124.6999969,124.4899979,6839900,86.76126862
1/10/2002,124,121.4199982,123.75,122.1399994,8926300,85.12342834
1/11/2002,122.1800003,120.2799988,121.5,120.3099976,4797800,83.84803772
1/14/2002,120.0899963,117.0999985,120,118.0500031,10026700,82.27300262
1/15/2002,119.6999969,117.7200012,118.0500031,118.8499985,5647900,82.83055878
1/16/2002,118.75,117.25,118,117.4000015,5366300,81.81998444
1/17/2002,120.5500031,117.2600021,119.8499985,119.9000015,11153700,83.56231689
1/18/2002,114.9000015,112.8099976,114.25,114.25,18440200,79.62466431
1/22/2002,114.2600021,110.3300018,114.25,110.5,10130400,77.01113892
1/23/2002,111.25,107,110.8000031,107.9000015,12556700,75.19911957
1/24/2002,109.7300034,107.0699997,108.8000031,108.7200012,8581500,75.77059937
1/25/2002,110.6900024,108.0999985,108.5,109.2799988,6761800,76.16088104
1/28/2002,110.2099991,107.0599976,109.5,108.1500015,7092900,75.37335205
1/29/2002,108.5599976,102.4100037,108.1500015,103,14509400,71.78412628
1/30/2002,105.75,101,104.25,105.5500031,17713300,73.56131744
1/31/2002,107.9800034,104.4599991,106.4000015,107.8899994,9877000,75.19215393
2/1/2002,109.3000031,106.6399994,107.6399994,108,6799500,75.2688446
2/4/2002,108,105.9899979,108,106.8000031,6601900,74.43250275
2/5/2002,108.5,106,106.25,106.3000031,6737700,74.08406067
2/6/2002,107.8199997,105.3300018,106.6999969,106.6299973,6669800,74.41201019
2/7/2002,107,103.8600006,106.6399994,103.9100037,7253800,72.51385498
2/8/2002,105.7200012,102.6100006,103,104.9899979,8339400,73.26750946
2/11/2002,107.6900024,104.5100021,105,107.3799973,6271900,74.93538666
2/12/2002,107.8899994,106.0599976,106.75,106.5699997,4559800,74.37014008
2/13/2002,108.4800034,106.1200027,106.6999969,108.0699997,5086900,75.41690826
2/14/2002,109.1500015,107.1999969,109,107.8899994,5816300,75.29129791
2/15/2002,104.8000031,101.6999969,104.8000031,102.8899994,18204600,71.80207062
2/19/2002,101.8000031,98.86000061,101.5,101.3000031,13395900,70.69248962
2/20/2002,100,97,99.54000092,99.30999756,14525200,69.30374908
2/21/2002,99.69999695,96.01000214,98.75,96.37999725,10131700,67.25901794
2/22/2002,99.19999695,95.76000214,96.37999725,98.44999695,10471600,68.7035675
