Stocks
AAL
AAP
AAPL
ABC
ABT
ADBE
ADI
ADM
ADS
ADSK
AEE
AEP
AFL
AIG
AIV
AIZ
AJG
AKAM
ALB
ALK
ALL
ALXN
AMAT
AME
AMG
AMGN
AMP
AMT
AMZN
AN
ANTM
AON
APA
APC
APD
APH
ARNC
ATVI
AVB
AVGO
AVY
AWK
AXP
AYI
AZO
BA
BAC
BAX
BBBY
BBT
BBY
BCR
BDX
BHI
BIIB
BK
BLL
BMY
BSX
BWA
BXP
C
CAG
CAH
CAT
CB
CBG
CCI
CCL
CELG
CERN
CF
CHD
CHK
CHRW
CI
CINF
CL
CLX
CMA
CME
CMG
CMI
CMS
CNC
CNP
COF
COG
COL
COO
COST
CPB
CRM
CSCO
CSX
CTAS
CTL
CTSH
CTXS
CVS
CVX
CXO
D
DAL
DD
DE
DFS
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DNB
DOV
DPS
DRI
DUK
DVA
DVN
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EQIX
EQR
EQT
ES
ESS
ETFC
ETN
ETR
EW
EXC
EXPD
EXPE
EXR
F
FAST
FCX
FDX
FE
FFIV
FIS
FISV
FL
FLIR
FLR
FLS
FMC
FRT
FSLR
FTR
GD
GGP
GILD
GIS
GLW
GPC
GPN
GPS
GRMN
GT
GWW
HAL
HAR
HAS
HBAN
HBI
HCN
HCP
HD
HES
HIG
HOG
HOLX
HON
HP
HPQ
HRB
HRL
HRS
HSIC
HST
HSY
HUM
IBM
IDXX
IFF
ILMN
INTC
INTU
IP
IPG
IRM
ISRG
ITW
IVZ
JBHT
JEC
JNPR
JPM
JWN
K
KEY
KIM
KLAC
KMB
KMX
KO
KR
KSS
KSU
LB
LEG
LEN
LH
LKQ
LLL
LLTC
LLY
LMT
LNT
LOW
LRCX
LUK
LUV
LVLT
M
MA
MAA
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDLZ
MET
MHK
MJN
MKC
MLM
MMC
MMM
MNST
MO
MON
MOS
MRK
MRO
MSFT
MTB
MTD
MU
MUR
MYL
NBL
NDAQ
NEE
NEM
NFLX
NFX
NKE
NOV
NSC
NTAP
NTRS
NUE
NVDA
NWL
O
OKE
OMC
ORLY
OXY
PAYX
PBCT
PBI
PCAR
PCG
PCLN
PDCO
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKI
PM
PNC
PNR
PNW
PPG
PPL
PRU
PVH
PWR
PX
QCOM
R
RCL
REGN
RHI
RHT
RL
ROK
ROP
ROST
RRC
RSG
SBUX
SCG
SCHW
SE
SEE
SHW
SIG
SJM
SLG
SNA
SNI
SO
SPG
SPGI
SPLS
SRCL
SRE
STI
STT
STX
STZ
SWK
SWKS
SWN
SYK
SYMC
SYY
T
TAP
TDC
TEL
TGNA
TGT
TIF
TJX
TMK
TMO
TRV
TSCO
TSN
TSO
TSS
TXN
TXT
UAA
UAL
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URBN
USB
UTX
V
VAR
VFC
VIAB
VLO
VMC
VNO
VRSK
VRSN
VRTX
VTR
VZ
WAT
WDC
WEC
WFC
WFM
WHR
WM
WMB
WMT
WU
WY
WYN
WYNN
XEC
XEL
XL
XLNX
XOM
XRAY
XRX
YHOO
YUM
ZBH
ZION
ZION
